Time	Sum	Command
2	2	---------> set -q __fish_git_prompt_show_informative_status
2	2	---------> set -q __fish_git_prompt_use_informative_chars
4	4	-------> set -l variable _$user_variable_name
5	5	-------> set -l variable_done "$variable"_done
4	42	-------> if not set -q $variable...
3	3	--------> not set -q $variable
28	35	--------> set -g $variable (set -q $user_variable_name; and echo $$user_variable_name; or echo $char)
3	3	---------> set -q $user_variable_name
4	4	---------> echo $char
10	81	------> __fish_git_prompt_set_char __fish_git_prompt_char_stagedstate '+' '●'
4	4	-------> set -l user_variable_name "$argv[1]"
3	3	-------> set -l char $argv[2]
1	24	-------> if set -q argv[3]...
2	2	--------> set -q argv[3]
18	21	--------> begin...
2	2	---------> set -q __fish_git_prompt_show_informative_status
1	1	---------> set -q __fish_git_prompt_use_informative_chars
3	3	-------> set -l variable _$user_variable_name
4	4	-------> set -l variable_done "$variable"_done
2	33	-------> if not set -q $variable...
3	3	--------> not set -q $variable
21	28	--------> set -g $variable (set -q $user_variable_name; and echo $$user_variable_name; or echo $char)
4	4	---------> set -q $user_variable_name
3	3	---------> echo $char
7	85	------> __fish_git_prompt_set_char __fish_git_prompt_char_stashstate '$' '⚑'
4	4	-------> set -l user_variable_name "$argv[1]"
3	3	-------> set -l char $argv[2]
1	24	-------> if set -q argv[3]...
2	2	--------> set -q argv[3]
17	21	--------> begin...
2	2	---------> set -q __fish_git_prompt_show_informative_status
2	2	---------> set -q __fish_git_prompt_use_informative_chars
4	4	-------> set -l variable _$user_variable_name
4	4	-------> set -l variable_done "$variable"_done
3	39	-------> if not set -q $variable...
2	2	--------> not set -q $variable
28	34	--------> set -g $variable (set -q $user_variable_name; and echo $$user_variable_name; or echo $char)
3	3	---------> set -q $user_variable_name
3	3	---------> echo $char
10	82	------> __fish_git_prompt_set_char __fish_git_prompt_char_stateseparator ' ' '|'
4	4	-------> set -l user_variable_name "$argv[1]"
3	3	-------> set -l char $argv[2]
0	24	-------> if set -q argv[3]...
2	2	--------> set -q argv[3]
18	22	--------> begin...
2	2	---------> set -q __fish_git_prompt_show_informative_status
2	2	---------> set -q __fish_git_prompt_use_informative_chars
4	4	-------> set -l variable _$user_variable_name
3	3	-------> set -l variable_done "$variable"_done
2	34	-------> if not set -q $variable...
2	2	--------> not set -q $variable
25	30	--------> set -g $variable (set -q $user_variable_name; and echo $$user_variable_name; or echo $char)
3	3	---------> set -q $user_variable_name
2	2	---------> echo $char
8	82	------> __fish_git_prompt_set_char __fish_git_prompt_char_untrackedfiles '%' '…'
4	4	-------> set -l user_variable_name "$argv[1]"
3	3	-------> set -l char $argv[2]
2	24	-------> if set -q argv[3]...
2	2	--------> set -q argv[3]
17	20	--------> begin...
1	1	---------> set -q __fish_git_prompt_show_informative_status
2	2	---------> set -q __fish_git_prompt_use_informative_chars
4	4	-------> set -l variable _$user_variable_name
4	4	-------> set -l variable_done "$variable"_done
2	35	-------> if not set -q $variable...
3	3	--------> not set -q $variable
23	30	--------> set -g $variable (set -q $user_variable_name; and echo $$user_variable_name; or echo $char)
4	4	---------> set -q $user_variable_name
3	3	---------> echo $char
10	78	------> __fish_git_prompt_set_char __fish_git_prompt_char_upstream_ahead '>' '↑'
4	4	-------> set -l user_variable_name "$argv[1]"
3	3	-------> set -l char $argv[2]
1	24	-------> if set -q argv[3]...
2	2	--------> set -q argv[3]
17	21	--------> begin...
2	2	---------> set -q __fish_git_prompt_show_informative_status
2	2	---------> set -q __fish_git_prompt_use_informative_chars
3	3	-------> set -l variable _$user_variable_name
3	3	-------> set -l variable_done "$variable"_done
3	31	-------> if not set -q $variable...
2	2	--------> not set -q $variable
20	26	--------> set -g $variable (set -q $user_variable_name; and echo $$user_variable_name; or echo $char)
3	3	---------> set -q $user_variable_name
3	3	---------> echo $char
7	78	------> __fish_git_prompt_set_char __fish_git_prompt_char_upstream_behind '<' '↓'
4	4	-------> set -l user_variable_name "$argv[1]"
3	3	-------> set -l char $argv[2]
2	24	-------> if set -q argv[3]...
2	2	--------> set -q argv[3]
17	20	--------> begin...
1	1	---------> set -q __fish_git_prompt_show_informative_status
2	2	---------> set -q __fish_git_prompt_use_informative_chars
3	3	-------> set -l variable _$user_variable_name
4	4	-------> set -l variable_done "$variable"_done
3	33	-------> if not set -q $variable...
2	2	--------> not set -q $variable
22	28	--------> set -g $variable (set -q $user_variable_name; and echo $$user_variable_name; or echo $char)
3	3	---------> set -q $user_variable_name
3	3	---------> echo $char
6	77	------> __fish_git_prompt_set_char __fish_git_prompt_char_upstream_diverged '<>'
4	4	-------> set -l user_variable_name "$argv[1]"
3	3	-------> set -l char $argv[2]
2	3	-------> if set -q argv[3]...
1	1	--------> set -q argv[3]
4	4	-------> set -l variable _$user_variable_name
4	4	-------> set -l variable_done "$variable"_done
18	53	-------> if not set -q $variable...
3	3	--------> not set -q $variable
26	32	--------> set -g $variable (set -q $user_variable_name; and echo $$user_variable_name; or echo $char)
3	3	---------> set -q $user_variable_name
3	3	---------> echo $char
7	73	------> __fish_git_prompt_set_char __fish_git_prompt_char_upstream_equal '='
4	4	-------> set -l user_variable_name "$argv[1]"
3	3	-------> set -l char $argv[2]
1	2	-------> if set -q argv[3]...
1	1	--------> set -q argv[3]
4	4	-------> set -l variable _$user_variable_name
4	4	-------> set -l variable_done "$variable"_done
18	49	-------> if not set -q $variable...
3	3	--------> not set -q $variable
22	28	--------> set -g $variable (set -q $user_variable_name; and echo $$user_variable_name; or echo $char)
3	3	---------> set -q $user_variable_name
3	3	---------> echo $char
9	73	------> __fish_git_prompt_set_char __fish_git_prompt_char_upstream_prefix ''
4	4	-------> set -l user_variable_name "$argv[1]"
4	4	-------> set -l char $argv[2]
0	2	-------> if set -q argv[3]...
2	2	--------> set -q argv[3]
3	3	-------> set -l variable _$user_variable_name
3	3	-------> set -l variable_done "$variable"_done
18	48	-------> if not set -q $variable...
2	2	--------> not set -q $variable
22	28	--------> set -g $variable (set -q $user_variable_name; and echo $$user_variable_name; or echo $char)
3	3	---------> set -q $user_variable_name
3	3	---------> echo $char
13	1407	-----> __fish_git_prompt_validate_colors
28	116	------> __fish_git_prompt_set_color __fish_git_prompt_color '' ''
4	4	-------> set -l user_variable_name "$argv[1]"
2	2	-------> set -l default default_done
36	52	-------> switch (count $argv)...
7	7	--------> count $argv
5	5	--------> set default "$argv[2]"
4	4	--------> set default_done "$argv[3]"
4	4	-------> set -l variable _$user_variable_name
4	4	-------> set -l variable_done "$variable"_done
3	22	-------> if not set -q $variable...
3	3	--------> not set -q $variable
1	16	--------> if test -n "$$user_variable_name"...
5	5	---------> test -n "$$user_variable_name"
5	5	---------> set -g $variable $default
5	5	---------> set -g $variable_done $default_done
9	88	------> __fish_git_prompt_set_color __fish_git_prompt_color_prefix
4	4	-------> set -l user_variable_name "$argv[1]"
2	2	-------> set -l default default_done
32	45	-------> switch (count $argv)...
5	5	--------> count $argv
4	4	--------> set default $___fish_git_prompt_color
4	4	--------> set default_done $___fish_git_prompt_color_done
4	4	-------> set -l variable _$user_variable_name
4	4	-------> set -l variable_done "$variable"_done
3	20	-------> if not set -q $variable...
2	2	--------> not set -q $variable
2	15	--------> if test -n "$$user_variable_name"...
4	4	---------> test -n "$$user_variable_name"
4	4	---------> set -g $variable $default
5	5	---------> set -g $variable_done $default_done
9	87	------> __fish_git_prompt_set_color __fish_git_prompt_color_suffix
3	3	-------> set -l user_variable_name "$argv[1]"
2	2	-------> set -l default default_done
33	45	-------> switch (count $argv)...
4	4	--------> count $argv
4	4	--------> set default $___fish_git_prompt_color
4	4	--------> set default_done $___fish_git_prompt_color_done
4	4	-------> set -l variable _$user_variable_name
4	4	-------> set -l variable_done "$variable"_done
3	20	-------> if not set -q $variable...
3	3	--------> not set -q $variable
1	14	--------> if test -n "$$user_variable_name"...
3	3	---------> test -n "$$user_variable_name"
5	5	---------> set -g $variable $default
5	5	---------> set -g $variable_done $default_done
6	89	------> __fish_git_prompt_set_color __fish_git_prompt_color_bare
4	4	-------> set -l user_variable_name "$argv[1]"
3	3	-------> set -l default default_done
38	48	-------> switch (count $argv)...
3	3	--------> count $argv
4	4	--------> set default $___fish_git_prompt_color
3	3	--------> set default_done $___fish_git_prompt_color_done
4	4	-------> set -l variable _$user_variable_name
4	4	-------> set -l variable_done "$variable"_done
2	20	-------> if not set -q $variable...
2	2	--------> not set -q $variable
3	16	--------> if test -n "$$user_variable_name"...
3	3	---------> test -n "$$user_variable_name"
6	6	---------> set -g $variable $default
4	4	---------> set -g $variable_done $default_done
9	85	------> __fish_git_prompt_set_color __fish_git_prompt_color_merging
3	3	-------> set -l user_variable_name "$argv[1]"
2	2	-------> set -l default default_done
34	44	-------> switch (count $argv)...
3	3	--------> count $argv
3	3	--------> set default $___fish_git_prompt_color
4	4	--------> set default_done $___fish_git_prompt_color_done
3	3	-------> set -l variable _$user_variable_name
4	4	-------> set -l variable_done "$variable"_done
2	20	-------> if not set -q $variable...
3	3	--------> not set -q $variable
3	15	--------> if test -n "$$user_variable_name"...
3	3	---------> test -n "$$user_variable_name"
5	5	---------> set -g $variable $default
4	4	---------> set -g $variable_done $default_done
11	84	------> __fish_git_prompt_set_color __fish_git_prompt_color_cleanstate
3	3	-------> set -l user_variable_name "$argv[1]"
2	2	-------> set -l default default_done
33	43	-------> switch (count $argv)...
4	4	--------> count $argv
3	3	--------> set default $___fish_git_prompt_color
3	3	--------> set default_done $___fish_git_prompt_color_done
3	3	-------> set -l variable _$user_variable_name
3	3	-------> set -l variable_done "$variable"_done
1	19	-------> if not set -q $variable...
3	3	--------> not set -q $variable
3	15	--------> if test -n "$$user_variable_name"...
3	3	---------> test -n "$$user_variable_name"
5	5	---------> set -g $variable $default
4	4	---------> set -g $variable_done $default_done
7	88	------> __fish_git_prompt_set_color __fish_git_prompt_color_invalidstate
4	4	-------> set -l user_variable_name "$argv[1]"
3	3	-------> set -l default default_done
31	43	-------> switch (count $argv)...
4	4	--------> count $argv
4	4	--------> set default $___fish_git_prompt_color
4	4	--------> set default_done $___fish_git_prompt_color_done
3	3	-------> set -l variable _$user_variable_name
4	4	-------> set -l variable_done "$variable"_done
2	24	-------> if not set -q $variable...
3	3	--------> not set -q $variable
2	19	--------> if test -n "$$user_variable_name"...
8	8	---------> test -n "$$user_variable_name"
5	5	---------> set -g $variable $default
4	4	---------> set -g $variable_done $default_done
7	83	------> __fish_git_prompt_set_color __fish_git_prompt_color_upstream
4	4	-------> set -l user_variable_name "$argv[1]"
2	2	-------> set -l default default_done
31	43	-------> switch (count $argv)...
4	4	--------> count $argv
4	4	--------> set default $___fish_git_prompt_color
4	4	--------> set default_done $___fish_git_prompt_color_done
3	3	-------> set -l variable _$user_variable_name
4	4	-------> set -l variable_done "$variable"_done
3	20	-------> if not set -q $variable...
3	3	--------> not set -q $variable
3	14	--------> if test -n "$$user_variable_name"...
3	3	---------> test -n "$$user_variable_name"
4	4	---------> set -g $variable $default
4	4	---------> set -g $variable_done $default_done
4	351	------> if set -q __fish_git_prompt_showcolorhints...
2	2	-------> set -q __fish_git_prompt_showcolorhints
9	86	-------> __fish_git_prompt_set_color __fish_git_prompt_color_flags
3	3	--------> set -l user_variable_name "$argv[1]"
2	2	--------> set -l default default_done
36	46	--------> switch (count $argv)...
4	4	---------> count $argv
3	3	---------> set default $___fish_git_prompt_color
3	3	---------> set default_done $___fish_git_prompt_color_done
4	4	--------> set -l variable _$user_variable_name
3	3	--------> set -l variable_done "$variable"_done
3	19	--------> if not set -q $variable...
2	2	---------> not set -q $variable
1	14	---------> if test -n "$$user_variable_name"...
3	3	----------> test -n "$$user_variable_name"
5	5	----------> set -g $variable $default
5	5	----------> set -g $variable_done $default_done
9	86	-------> __fish_git_prompt_set_color __fish_git_prompt_color_branch
3	3	--------> set -l user_variable_name "$argv[1]"
3	3	--------> set -l default default_done
31	43	--------> switch (count $argv)...
4	4	---------> count $argv
4	4	---------> set default $___fish_git_prompt_color
4	4	---------> set default_done $___fish_git_prompt_color_done
3	3	--------> set -l variable _$user_variable_name
4	4	--------> set -l variable_done "$variable"_done
2	21	--------> if not set -q $variable...
2	2	---------> not set -q $variable
2	17	---------> if test -n "$$user_variable_name"...
3	3	----------> test -n "$$user_variable_name"
5	5	----------> set -g $variable $default
7	7	----------> set -g $variable_done $default_done
9	87	-------> __fish_git_prompt_set_color __fish_git_prompt_color_dirtystate $___fish_git_prompt_color_flags $___fish_git_prompt_color_flags_done
4	4	--------> set -l user_variable_name "$argv[1]"
3	3	--------> set -l default default_done
32	44	--------> switch (count $argv)...
5	5	---------> count $argv
4	4	---------> set default "$argv[2]"
3	3	---------> set default_done "$argv[3]"
3	3	--------> set -l variable _$user_variable_name
4	4	--------> set -l variable_done "$variable"_done
4	20	--------> if not set -q $variable...
2	2	---------> not set -q $variable
3	14	---------> if test -n "$$user_variable_name"...
3	3	----------> test -n "$$user_variable_name"
4	4	----------> set -g $variable $default
4	4	----------> set -g $variable_done $default_done
12	86	-------> __fish_git_prompt_set_color __fish_git_prompt_color_stagedstate $___fish_git_prompt_color_flags $___fish_git_prompt_color_flags_done
3	3	--------> set -l user_variable_name "$argv[1]"
2	2	--------> set -l default default_done
31	43	--------> switch (count $argv)...
4	4	---------> count $argv
4	4	---------> set default "$argv[2]"
4	4	---------> set default_done "$argv[3]"
3	3	--------> set -l variable _$user_variable_name
4	4	--------> set -l variable_done "$variable"_done
2	19	--------> if not set -q $variable...
3	3	---------> not set -q $variable
2	14	---------> if test -n "$$user_variable_name"...
4	4	----------> test -n "$$user_variable_name"
4	4	----------> set -g $variable $default
4	4	----------> set -g $variable_done $default_done
27	138	------> __fish_git_prompt_set_color __fish_git_prompt_color_branch_detached (set_color red)
8	8	-------> set_color red
4	4	-------> set -l user_variable_name "$argv[1]"
3	3	-------> set -l default default_done
34	68	-------> switch (count $argv)...
6	6	--------> count $argv
5	5	--------> set default "$argv[2]"
18	23	--------> set default_done (set_color normal)
5	5	---------> set_color normal
4	4	-------> set -l variable _$user_variable_name
4	4	-------> set -l variable_done "$variable"_done
2	20	-------> if not set -q $variable...
2	2	--------> not set -q $variable
4	16	--------> if test -n "$$user_variable_name"...
4	4	---------> test -n "$$user_variable_name"
4	4	---------> set -g $variable $default
4	4	---------> set -g $variable_done $default_done
12	97	------> __fish_git_prompt_set_color __fish_git_prompt_color_stashstate $___fish_git_prompt_color_flags $___fish_git_prompt_color_flags_done
4	4	-------> set -l user_variable_name "$argv[1]"
2	2	-------> set -l default default_done
37	51	-------> switch (count $argv)...
6	6	--------> count $argv
4	4	--------> set default "$argv[2]"
4	4	--------> set default_done "$argv[3]"
4	4	-------> set -l variable _$user_variable_name
4	4	-------> set -l variable_done "$variable"_done
3	20	-------> if not set -q $variable...
2	2	--------> not set -q $variable
1	15	--------> if test -n "$$user_variable_name"...
4	4	---------> test -n "$$user_variable_name"
5	5	---------> set -g $variable $default
5	5	---------> set -g $variable_done $default_done
9	88	------> __fish_git_prompt_set_color __fish_git_prompt_color_untrackedfiles $___fish_git_prompt_color_flags $___fish_git_prompt_color_flags_done
4	4	-------> set -l user_variable_name "$argv[1]"
3	3	-------> set -l default default_done
34	45	-------> switch (count $argv)...
5	5	--------> count $argv
3	3	--------> set default "$argv[2]"
3	3	--------> set default_done "$argv[3]"
4	4	-------> set -l variable _$user_variable_name
4	4	-------> set -l variable_done "$variable"_done
1	19	-------> if not set -q $variable...
3	3	--------> not set -q $variable
4	15	--------> if test -n "$$user_variable_name"...
3	3	---------> test -n "$$user_variable_name"
4	4	---------> set -g $variable $default
4	4	---------> set -g $variable_done $default_done
3	3	-----> set -g ___fish_git_prompt_init
6	6	----> set -l space "$___fish_git_prompt_color$___fish_git_prompt_char_stateseparator$___fish_git_prompt_color_done"
34	7937	----> set -l informative (command git config --bool bash.showInformativeStatus)
7903	7903	-----> command git config --bool bash.showInformativeStatus
39	7968	----> set -l dirty (command git config --bool bash.showDirtyState)
7929	7929	-----> command git config --bool bash.showDirtyState
3	10	----> if not set -q dirty[1]...
4	4	-----> not set -q dirty[1]
3	3	-----> set -q __fish_git_prompt_showdirtystate
12	12	----> contains dirtystate $__fish_git_prompt_status_order
36	7358	----> set -l untracked (command git config --bool bash.showUntrackedFiles)
7322	7322	-----> command git config --bool bash.showUntrackedFiles
3	8	----> if not set -q untracked[1]...
3	3	-----> not set -q untracked[1]
2	2	-----> set -q __fish_git_prompt_showuntrackedfiles
8	8	----> contains untrackedfiles $__fish_git_prompt_status_order
4	33	----> if test true = $inside_worktree...
4	4	-----> test true = $inside_worktree
3	20	-----> if test "$informative" = true...
3	3	------> test "$informative" = true
2	4	------> begin...
2	2	-------> set -q __fish_git_prompt_show_informative_status
1	3	------> if test "$dirty" = true...
2	2	-------> test "$dirty" = true
1	3	------> if set -q __fish_git_prompt_showstashstate...
2	2	-------> set -q __fish_git_prompt_showstashstate
2	4	------> if test "$untracked" = true...
2	2	-------> test "$untracked" = true
1	5	-----> if set -q __fish_git_prompt_showupstream...
2	2	------> set -q __fish_git_prompt_showupstream
2	2	------> set -q __fish_git_prompt_show_informative_status
4	4	----> set -l branch_color $___fish_git_prompt_color_branch
5	5	----> set -l branch_done $___fish_git_prompt_color_branch_done
0	3	----> if set -q __fish_git_prompt_showcolorhints...
3	3	-----> set -q __fish_git_prompt_showcolorhints
2	2	----> set -l f ""
12	28	----> for i in $__fish_git_prompt_status_order...
1	4	-----> if test -n "$$i"...
3	3	------> test -n "$$i"
0	3	-----> if test -n "$$i"...
3	3	------> test -n "$$i"
0	3	-----> if test -n "$$i"...
3	3	------> test -n "$$i"
0	3	-----> if test -n "$$i"...
3	3	------> test -n "$$i"
0	3	-----> if test -n "$$i"...
3	3	------> test -n "$$i"
31	37	----> set b (string replace refs/heads/ '' -- $b)
6	6	-----> string replace refs/heads/ '' -- $b
3	3	----> set -q __fish_git_prompt_shorten_branch_char_suffix
5	5	----> set -l __fish_git_prompt_shorten_branch_char_suffix "…"
1	15	----> if string match -qr '^\d+$' "$__fish_git_prompt_shorten_branch_len"...
14	14	-----> string match -qr '^\d+$' "$__fish_git_prompt_shorten_branch_len"
3	11	----> if test -n "$b"...
4	4	-----> test -n "$b"
4	4	-----> set b "$branch_color$b$branch_done"
2	4	----> if test -n "$c"...
2	2	-----> test -n "$c"
1	3	----> if test -n "$r"...
2	2	-----> test -n "$r"
1	3	----> if test -n "$p"...
2	2	-----> test -n "$p"
0	2	----> if test -n "$f"...
2	2	-----> test -n "$f"
5	5	----> set -l format $argv[1]
2	8	----> if test -z "$format"...
3	3	-----> test -z "$format"
3	3	-----> set format " (%s)"
17	17	----> printf "%s$format%s" "$___fish_git_prompt_color_prefix" "$___fish_git_prompt_color_prefix_done$c$b$f$r$p$informative_status$___fish_git_prompt_color_suffix" "$___fish_git_prompt_color_suffix_done"
132	134	> source /opt/homebrew/Cellar/fish/3.3.1/share/fish/functions/fish_title.fish
2	2	-> function fish_title...
6	236	> fish_title
4	230	-> if not set -q INSIDE_EMACS...
3	3	--> not set -q INSIDE_EMACS
39	223	--> echo (set -q argv[1] && echo $argv[1] || status current-command) (__fish_pwd)
3	3	---> set -q argv[1]
4	4	---> status current-command
43	177	---> __fish_pwd
112	115	----> source /opt/homebrew/Cellar/fish/3.3.1/share/fish/functions/__fish_pwd.fish
3	3	-----> function __fish_pwd --description "Show current path"...
3	19	----> if status test-feature regex-easyesc...
5	5	-----> status test-feature regex-easyesc
11	11	-----> string replace -r '^/cygdrive/(.)?' '\\\U$1:' -- $PWD
431	2603	> _autopair_backspace
1565	1580	-> source /Users/solenoid/.config/fish/functions/_autopair_backspace.fish
15	15	--> function _autopair_backspace...
161	301	-> set --local index (commandline --cursor)
140	140	--> commandline --cursor
108	120	-> set --local buffer (commandline)
12	12	--> commandline
19	19	-> test $index -ge 1
111	137	-> contains -- (string sub --start=$index --length=2 -- "$buffer") $autopair_pairs
26	26	--> string sub --start=$index --length=2 -- "$buffer"
15	15	-> commandline --function backward-delete-char
78	140	> __fish_disable_bracketed_paste exit
62	62	-> printf "\e[?2004l"
36	514	> fish_title exit
19	478	-> if not set -q INSIDE_EMACS...
21	21	--> not set -q INSIDE_EMACS
236	438	--> echo (set -q argv[1] && echo $argv[1] || status current-command) (__fish_pwd)
11	11	---> set -q argv[1]
18	18	---> echo $argv[1]
66	173	---> __fish_pwd
15	107	----> if status test-feature regex-easyesc...
18	18	-----> status test-feature regex-easyesc
74	74	-----> string replace -r '^/cygdrive/(.)?' '\\\U$1:' -- $PWD
124	124	> exit
19	50	> __fish_disable_bracketed_paste
31	31	-> printf "\e[?2004l"
